original_name,normalized_name,vehicle,generation,year,part_type,position,side,variant,oem_reference,manufacturer,image_source,source_url,usage_status,filename,verification_status,confidence
FEU AR PARTNER /BERLINGO 12 1P NOIRE G,Feu Arrière Gauche 1 Porte / Hayon Masque Noir,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 2/3 (B9),2012-2018,Feu Arrière,Arrière,Gauche (G),"1 Porte / Hayon (1P), Masque intérieur noir (Black Bezel)",9677025580 / 1608404980,MARS / VALEO / MAGNETI MARELLI / TYC,VALEO Service / Magneti Marelli Catalog,https://www.valeoservice.com/en/catalog/peugeot/partner-2012/rear-light-left-black-044877,Catalog Reference (Direct Download Restricted),partner-berlingo-2012-2018-rear-tail-light-left-tailgate-black-bezel.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 12-15 NOIR 2P D,Feu Arrière Droit 2 Portes Battantes Masque Noir,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 2/3 (B9),2012-2018,Feu Arrière,Arrière,Droit (D),"2 Portes battantes (2P), Masque intérieur noir (Black Bezel)",1608405280 / 9677205480,MAD / VALEO / DEPO,VALEO Service / DEPO Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2012/rear-light-right-2doors-black-044878,Catalog Reference (Direct Download Restricted),partner-berlingo-2012-2018-rear-tail-light-right-2-doors-black-bezel.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 12-15 NOIR 2P G,Feu Arrière Gauche 2 Portes Battantes Masque Noir,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 2/3 (B9),2012-2018,Feu Arrière,Arrière,Gauche (G),"2 Portes battantes (2P), Masque intérieur noir (Black Bezel)",1608405180 / 9677025580,MAD / MARS / VALEO / DEPO,VALEO Service / DEPO Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2012/rear-light-left-2doors-black-044877,Catalog Reference (Direct Download Restricted),partner-berlingo-2012-2018-rear-tail-light-left-2-doors-black-bezel.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 12-15 NOIR 2P G,Feu Arrière Gauche 2 Portes Battantes Masque Noir,Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 2/3 (B9),2012-2018,Feu Arrière,Arrière,Gauche (G),"2 Portes battantes (2P), Masque intérieur noir (Black Bezel)",1608405180 / 9677025580,MAD / MARS / VALEO / DEPO,VALEO Service / DEPO Catalog,https://www.valeoservice.com/en/catalog/citroen/berlingo-2012/rear-light-left-2doors-black-044877,Duplicate Line of #48 (Catalog Ref),partner-berlingo-2012-2018-rear-tail-light-left-2-doors-black-bezel.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 96-04 1P D,Feu Arrière Droit 1 Porte / Hayon Classique,Peugeot Partner I / Citroën Berlingo I,1st Gen Phase 1/2 (M49/M59),1996-2004 (1996-2008),Feu Arrière,Arrière,Droit (D),"1 Porte / Hayon (1P), Clignotant Orange Classique",6351K0 / 6351.K0 / 6351J0,DEPO / MAGNETI MARELLI / VALEO,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-1996/tail-light-552-1922r-ue,Catalog Reference (Direct Download Restricted),partner-berlingo-1996-2004-rear-tail-light-right-tailgate-classic.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER /BERLINGO 96-04 1P G,Feu Arrière Gauche 1 Porte / Hayon Classique,Peugeot Partner I / Citroën Berlingo I,1st Gen Phase 1/2 (M49/M59),1996-2004 (1996-2008),Feu Arrière,Arrière,Gauche (G),"1 Porte / Hayon (1P), Clignotant Orange Classique",6350K0 / 6350.K0 / 6350J0,DEPO / MAGNETI MARELLI / VALEO,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-1996/tail-light-552-1922l-ue,Catalog Reference (Direct Download Restricted),partner-berlingo-1996-2004-rear-tail-light-left-tailgate-classic.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 05-08 1P D,Feu Arrière Droit 1 Porte / Hayon Nouveau Modèle Cristal,Peugeot Partner I Facelift / Citroën Berlingo I,1st Gen Facelift (M59),2005-2008 (2002-2008),Feu Arrière,Arrière,Droit (D),"1 Porte / Hayon (1P), Glace cristal/rouge (Nouveau Modèle)",6351T7 / 6351.T7,MARS / DEPO / TYC / MAGNETI MARELLI,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-tailgate-552-1925r-ue,Catalog Reference (Direct Download Restricted),peugeot-partner-2005-2008-rear-tail-light-right-tailgate-facelift.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 05-08 1P D,Feu Arrière Droit 1 Porte / Hayon Nouveau Modèle Cristal,Peugeot Partner I Facelift / Citroën Berlingo I,1st Gen Facelift (M59),2005-2008 (2002-2008),Feu Arrière,Arrière,Droit (D),"1 Porte / Hayon (1P), Glace cristal/rouge (Nouveau Modèle)",6351T7 / 6351.T7,MARS / DEPO / TYC / MAGNETI MARELLI,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-tailgate-552-1925r-ue,Duplicate Line of #52 (Catalog Ref),peugeot-partner-2005-2008-rear-tail-light-right-tailgate-facelift.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 05-08 1P G,Feu Arrière Gauche 1 Porte / Hayon Nouveau Modèle Cristal,Peugeot Partner I Facelift / Citroën Berlingo I,1st Gen Facelift (M59),2005-2008 (2002-2008),Feu Arrière,Arrière,Gauche (G),"1 Porte / Hayon (1P), Glace cristal/rouge (Nouveau Modèle)",6350T7 / 6350.T7,MARS / DEPO / TYC / MAGNETI MARELLI,DEPO Auto Lamp / Magneti Marelli Catalog,https://www.depoautolamp.com/catalog/peugeot/partner-2005/tail-light-tailgate-552-1925l-ue,Catalog Reference (Direct Download Restricted),peugeot-partner-2005-2008-rear-tail-light-left-tailgate-facelift.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 08-12 D,Feu Arrière Droit (Phase 1),Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 1 (B9),2008-2012,Feu Arrière,Arrière,Droit (D),Phase 1 Standard,9677205480 / 6351GA / 6351.GA,DEPO / VALEO / MAGNETI MARELLI,Magneti Marelli / Valeo Catalog,https://www.magnetimarelli-aftermarket.com/catalog/peugeot/partner-2008/rear-light-714021670802,Catalog Reference (Direct Download Restricted),peugeot-partner-2008-2012-rear-tail-light-right.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER 08-12 G,Feu Arrière Gauche (Phase 1),Peugeot Partner II / Citroën Berlingo II,2nd Gen Phase 1 (B9),2008-2012,Feu Arrière,Arrière,Gauche (G),Phase 1 Standard,9677025580 / 6350GA / 6350.GA,DEPO / VALEO / MAGNETI MARELLI,Magneti Marelli / Valeo Catalog,https://www.magnetimarelli-aftermarket.com/catalog/peugeot/partner-2008/rear-light-714021670701,Catalog Reference (Direct Download Restricted),peugeot-partner-2008-2012-rear-tail-light-left.jpg,EXACT MATCH,High (99%)
FEU AR PARTNER/BERLINGO 05 D,Feu Arrière Droit 2 Portes Battantes Cristal,Peugeot Partner I / Citroën Berlingo I,1st Gen Facelift (M59),2002-2008 (2005),Feu Arrière,Arrière,Droit (D),"2 Portes battantes (2P), Glace cristal/rouge",6351T8 / 6351.T8,PLEKSAN / DEPO / MAGNETI MARELLI,Pleksan Catalog / Depo Auto Lamp,https://www.pleksan.com.tr/en/product/peugeot-partner-2005-rear-lamp-4204,Catalog Reference (Direct Download Restricted),partner-berlingo-2002-2008-rear-tail-light-right-2-doors-facelift.jpg,EXACT MATCH,High (99%)
